modality,validation,analysis,arm,model,n,n_positive,n_negative,auc,ci95_low,ci95_high,n_bootstrap,source_prediction_file,source_results_file
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,LR,135,75,60,0.7628888888888888,0.6759245961604556,0.8429366926825943,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,XGB,135,75,60,0.7625555555555555,0.6746195526298003,0.8423661581558315,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",NR,MLP,135,75,60,0.7815555555555557,0.7009083416583417,0.8580252494809457,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-NR__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,LR,135,75,60,0.7295555555555556,0.637858024691358,0.81396442337758,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,XGB,135,75,60,0.711,0.6211411795106185,0.7964525480646804,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",RS,MLP,135,75,60,0.7317777777777777,0.6425099425541316,0.814890293040293,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-RS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,LR,135,75,60,0.7628888888888888,0.6759245961604556,0.8429366926825943,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,XGB,135,75,60,0.7625555555555555,0.6746195526298003,0.8423661581558315,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",VS,MLP,135,75,60,0.7815555555555557,0.7009083416583417,0.8580252494809457,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-VS__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",FK,LR,135,75,60,0.7628888888888888,0.6759245961604556,0.8429366926825943,10000,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/results_models.csv
