modality,validation,analysis,model,comparison,n_paired,auc_arm1,auc_arm2,delta_auc,ci95_low,ci95_high,bootstrap_p_exploratory,n_bootstrap
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,VS - NR,135,0.7628888888888888,0.7628888888888888,0.0,0.0,0.0,1.0,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,RS - NR,135,0.7295555555555556,0.7628888888888888,-0.033333333333333215,-0.07181231435825552,0.004111799073061795,0.0806,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,FK - NR,135,0.7628888888888888,0.7628888888888888,0.0,0.0,0.0,1.0,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,VS - RS,135,0.7628888888888888,0.7295555555555556,0.033333333333333215,-0.0035448038202136683,0.07197543859649123,0.078,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,VS - NR,135,0.7625555555555555,0.7625555555555555,0.0,0.0,0.0,1.0,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,RS - NR,135,0.711,0.7625555555555555,-0.05155555555555558,-0.119223997658765,0.017033279220779265,0.14,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,FK - NR,135,0.7625555555555555,0.7625555555555555,0.0,0.0,0.0,1.0,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",XGB,VS - RS,135,0.7625555555555555,0.711,0.05155555555555558,-0.014509658065460163,0.11934221748400846,0.1306,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,VS - NR,135,0.7815555555555557,0.7815555555555557,0.0,0.0,0.0,1.0,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,RS - NR,135,0.7317777777777777,0.7815555555555557,-0.04977777777777792,-0.09437484615763311,-0.007118926330222058,0.0204,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,FK - NR,135,0.7815555555555557,0.7815555555555557,0.0,0.0,0.0,1.0,10000
CT,internal held-out,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",MLP,VS - RS,135,0.7815555555555557,0.7317777777777777,0.04977777777777792,0.007044499013644615,0.09305137174211245,0.0232,10000
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,VS - NR,46,0.6162570888468809,0.6162570888468809,0.0,0.0,0.0,1.0,10000
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,RS - NR,46,0.46502835538752363,0.6162570888468809,-0.15122873345935728,-0.27778571428571425,-0.024568821727243895,0.0204,10000
CT,external,"Paper 1 NUEVOS common-neutral Axis A-only baseline (B=OFF, N=OFF, C=OFF)",LR,FK - NR,46,0.6162570888468809,0.6162570888468809,0.0,0.0,0.0,1.0,10000
