modality,validation,model,comparison,auc_arm1,auc_arm2,delta_auc,ci_low,ci_high,ci_excludes_zero
CT,external,LR,VS - NR,0.6162570888468809,0.6162570888468809,0.0,0.0,0.0,False
CT,external,LR,RS - NR,0.4650283553875236,0.6162570888468809,-0.1512287334593572,-0.2777857142857142,-0.0245688217272438,True
CT,external,LR,FK - NR,0.6162570888468809,0.6162570888468809,0.0,0.0,0.0,False
CT,external,LR,VS - RS,0.6162570888468809,0.4650283553875236,0.1512287334593572,0.0283975659229208,0.2765223506999821,True
CT,external,XGB,VS - NR,0.5897920604914935,0.5897920604914935,0.0,0.0,0.0,False
CT,external,XGB,RS - NR,0.2844990548204159,0.5897920604914935,-0.3052930056710776,-0.5238152472527473,-0.0795454545454545,True
CT,external,XGB,FK - NR,0.5897920604914935,0.5897920604914935,0.0,0.0,0.0,False
CT,external,XGB,VS - RS,0.5897920604914935,0.2844990548204159,0.3052930056710776,0.0770067822802197,0.5257978479853479,True
CT,external,MLP,VS - NR,0.6483931947069943,0.6483931947069943,0.0,0.0,0.0,False
CT,external,MLP,RS - NR,0.5274102079395084,0.6483931947069943,-0.1209829867674858,-0.2457142857142856,0.0,False
CT,external,MLP,FK - NR,0.6483931947069943,0.6483931947069943,0.0,0.0,0.0,False
CT,external,MLP,VS - RS,0.6483931947069943,0.5274102079395084,0.1209829867674858,0.0,0.2460347985347985,False
CT,internal,LR,VS - NR,0.7628888888888888,0.7628888888888888,0.0,0.0,0.0,False
CT,internal,LR,RS - NR,0.7295555555555556,0.7628888888888888,-0.0333333333333332,-0.0718123143582555,0.0041117990730617,False
CT,internal,LR,FK - NR,0.7628888888888888,0.7628888888888888,0.0,0.0,0.0,False
CT,internal,LR,VS - RS,0.7628888888888888,0.7295555555555556,0.0333333333333332,-0.0035448038202136,0.0719754385964912,False
CT,internal,XGB,VS - NR,0.7625555555555555,0.7625555555555555,0.0,0.0,0.0,False
CT,internal,XGB,RS - NR,0.711,0.7625555555555555,-0.0515555555555555,-0.119223997658765,0.0170332792207792,False
CT,internal,XGB,FK - NR,0.7625555555555555,0.7625555555555555,0.0,0.0,0.0,False
CT,internal,XGB,VS - RS,0.7625555555555555,0.711,0.0515555555555555,-0.0145096580654601,0.1193422174840084,False
CT,internal,MLP,VS - NR,0.7815555555555557,0.7815555555555557,0.0,0.0,0.0,False
CT,internal,MLP,RS - NR,0.7317777777777777,0.7815555555555557,-0.0497777777777779,-0.0943748461576331,-0.007118926330222,True
CT,internal,MLP,FK - NR,0.7815555555555557,0.7815555555555557,0.0,0.0,0.0,False
CT,internal,MLP,VS - RS,0.7815555555555557,0.7317777777777777,0.0497777777777779,0.0070444990136446,0.0930513717421124,True
MRI,external,LR,VS - NR,0.3671717171717171,0.4191919191919191,-0.052020202020202,-0.1409465020576131,0.0341859364713626,False
MRI,external,LR,RS - NR,0.5696969696969697,0.4191919191919191,0.1505050505050505,-0.0224489795918367,0.3179012345679012,False
MRI,external,LR,FK - NR,0.6313131313131313,0.4191919191919191,0.2121212121212121,0.0060845780318396,0.4163306451612903,True
MRI,external,LR,VS - RS,0.3671717171717171,0.5696969696969697,-0.2025252525252525,-0.3765306122448979,-0.0231845504778972,True
MRI,external,XGB,VS - NR,0.4171717171717171,0.456060606060606,-0.0388888888888888,-0.1985603967542811,0.1193877551020408,False
MRI,external,XGB,RS - NR,0.5595959595959595,0.456060606060606,0.1035353535353535,-0.045466686091686,0.2484787018255577,False
MRI,external,XGB,FK - NR,0.5606060606060606,0.456060606060606,0.1045454545454545,-0.0642105263157895,0.2735042735042735,False
MRI,external,XGB,VS - RS,0.4171717171717171,0.5595959595959595,-0.1424242424242424,-0.3240774853801169,0.0391370223978918,False
MRI,external,MLP,VS - NR,0.5070707070707071,0.4565656565656566,0.0505050505050505,-0.0898029071199803,0.1909203142536474,False
MRI,external,MLP,RS - NR,0.5555555555555556,0.4565656565656566,0.0989898989898989,-0.0715845959595959,0.2661290322580644,False
MRI,external,MLP,FK - NR,0.6747474747474748,0.4565656565656566,0.2181818181818181,0.0602837837837837,0.3752599660553876,True
MRI,external,MLP,VS - RS,0.5070707070707071,0.5555555555555556,-0.0484848484848484,-0.2459283029001074,0.1565703659579666,False
MRI,internal,LR,VS - NR,0.7004608294930876,0.6382488479262673,0.0622119815668202,-0.0457142857142857,0.1850961538461538,False
MRI,internal,LR,RS - NR,0.599078341013825,0.6382488479262673,-0.0391705069124423,-0.2327188940092165,0.1622222222222221,False
MRI,internal,LR,FK - NR,0.5737327188940091,0.6382488479262673,-0.0645161290322582,-0.25,0.1283479755538577,False
MRI,internal,LR,VS - RS,0.7004608294930876,0.599078341013825,0.1013824884792626,-0.1228601266496381,0.316811896906485,False
MRI,internal,XGB,VS - NR,0.380184331797235,0.5576036866359446,-0.1774193548387095,-0.3425925925925925,-0.0168264180672268,True
MRI,internal,XGB,RS - NR,0.6290322580645161,0.5576036866359446,0.0714285714285715,-0.1018518518518518,0.2593582887700535,False
MRI,internal,XGB,FK - NR,0.5207373271889402,0.5576036866359446,-0.0368663594470044,-0.2115495391705069,0.1300063025210083,False
