feature,family,selected_folds,selection_freq,mean_votes_when_counting_all_folds,max_votes,stable,rank_score,RFE_count,Spearman_count,Chi2_count,LogReg_count,LightGBM_count,RandomForest_count
original_glcm_Imc1,glcm,1,0.2,4.0,5,0,0.8,4,5,5,1,0,5
original_glrlm_RunLengthNonUniformity,glrlm,1,0.2,3.6,5,0,0.7200000000000001,2,5,5,1,0,5
gradient_glcm_Imc1,glcm,1,0.2,3.4,5,0,0.68,1,5,5,1,0,5
gradient_glszm_GrayLevelNonUniformity,glszm,1,0.2,3.2,5,0,0.6400000000000001,1,5,3,2,0,5
gradient_ngtdm_Busyness,ngtdm,1,0.2,3.0,5,0,0.6000000000000001,1,5,3,1,0,5
original_ngtdm_Busyness,ngtdm,1,0.2,1.2,5,0,0.24,1,1,2,1,0,1
gradient_glcm_Idmn,glcm,0,0.0,1.4,4,0,0.0,1,3,0,1,0,2
gradient_gldm_DependenceNonUniformity,gldm,0,0.0,2.6,4,0,0.0,1,5,2,1,0,4
gradient_glrlm_GrayLevelNonUniformity,glrlm,0,0.0,3.2,4,0,0.0,0,5,5,1,0,5
gradient_ngtdm_Coarseness,ngtdm,0,0.0,2.4,4,0,0.0,0,5,1,1,0,5
original_firstorder_Energy,firstorder,0,0.0,1.6,4,0,0.0,1,5,1,1,0,0
original_glcm_Idmn,glcm,0,0.0,3.4,4,0,0.0,4,5,0,3,0,5
original_glcm_Imc2,glcm,0,0.0,2.4,4,0,0.0,1,5,0,1,0,5
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,0,0.0,2.4,4,0,0.0,3,0,5,3,0,1
original_glszm_GrayLevelNonUniformity,glszm,0,0.0,3.2,4,0,0.0,2,5,1,3,0,5
original_glszm_SizeZoneNonUniformity,glszm,0,0.0,3.6,4,0,0.0,3,5,0,5,0,5
original_ngtdm_Strength,ngtdm,0,0.0,2.8,4,0,0.0,1,5,5,0,0,3
gradient_firstorder_10Percentile,firstorder,0,0.0,2.0,3,0,0.0,2,0,5,3,0,0
gradient_firstorder_Energy,firstorder,0,0.0,2.0,3,0,0.0,0,5,1,0,0,4
gradient_firstorder_Minimum,firstorder,0,0.0,2.6,3,0,0.0,0,5,5,0,0,3
gradient_firstorder_TotalEnergy,firstorder,0,0.0,2.4,3,0,0.0,0,5,1,1,0,5
gradient_glcm_Contrast,glcm,0,0.0,0.6,3,0,0.0,1,0,1,1,0,0
gradient_glcm_Imc2,glcm,0,0.0,2.2,3,0,0.0,1,5,0,0,0,5
gradient_gldm_GrayLevelNonUniformity,gldm,0,0.0,2.6,3,0,0.0,0,5,3,0,0,5
gradient_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0,0.0,1.4,3,0,0.0,3,0,1,3,0,0
gradient_glrlm_RunLengthNonUniformity,glrlm,0,0.0,3.0,3,0,0.0,0,5,5,0,0,5
gradient_glszm_SizeZoneNonUniformity,glszm,0,0.0,2.4,3,0,0.0,0,5,2,0,0,5
gradient_glszm_ZoneEntropy,glszm,0,0.0,2.4,3,0,0.0,5,0,0,5,0,2
gradient_ngtdm_Strength,ngtdm,0,0.0,2.2,3,0,0.0,0,2,5,0,0,4
original_firstorder_TotalEnergy,firstorder,0,0.0,1.8,3,0,0.0,1,1,1,4,0,2
original_glcm_Contrast,glcm,0,0.0,3.0,3,0,0.0,5,0,5,5,0,0
original_glcm_DifferenceAverage,glcm,0,0.0,1.6,3,0,0.0,1,0,3,4,0,0
original_glcm_DifferenceVariance,glcm,0,0.0,1.6,3,0,0.0,3,0,4,1,0,0
original_gldm_DependenceNonUniformityNormalized,gldm,0,0.0,1.4,3,0,0.0,1,0,5,1,0,0
original_gldm_DependenceVariance,gldm,0,0.0,3.0,3,0,0.0,5,0,5,5,0,0
original_gldm_GrayLevelNonUniformity,gldm,0,0.0,2.8,3,0,0.0,0,5,4,0,0,5
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,0,0.0,1.8,3,0,0.0,0,3,5,0,0,1
original_glrlm_GrayLevelNonUniformity,glrlm,0,0.0,3.0,3,0,0.0,0,5,5,0,0,5
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0,0.0,0.6,3,0,0.0,1,0,1,1,0,0
original_glrlm_LowGrayLevelRunEmphasis,glrlm,0,0.0,0.8,3,0,0.0,1,2,1,0,0,0
original_glrlm_RunEntropy,glrlm,0,0.0,1.4,3,0,0.0,2,0,0,4,0,1
original_glszm_LowGrayLevelZoneEmphasis,glszm,0,0.0,1.8,3,0,0.0,4,0,1,3,0,1
