arm_id,A,B,N,C,domain_label,model,n_train,n_test,n_features,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_ap,test_brier,test_ece,test_acc,test_sens,test_spec,overfit_gap_train_test_auc,generalization_gap_cv_test_auc,best_params,bundle_path,preds_path,selected_features_source,feature_mode
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,MLP,538,135,2,0.715631599965626,0.035242219868245536,0.7225033738191632,0.7815555555555557,0.7703655561840492,0.20244475085906175,0.11825536224577163,0.6962962962962963,0.6,0.8166666666666667,-0.059052181736392484,-0.0659239555899297,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden1"": 64, ""hidden2"": 32, ""lr"": 0.001, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__MLP__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,MLP,538,135,2,0.715631599965626,0.035242219868245536,0.7225033738191632,0.7815555555555557,0.7703655561840492,0.20244475085906175,0.11825536224577163,0.6962962962962963,0.6,0.8166666666666667,-0.059052181736392484,-0.0659239555899297,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden1"": 64, ""hidden2"": 32, ""lr"": 0.001, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__MLP__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,MLP,538,135,2,0.715631599965626,0.035242219868245536,0.7225033738191632,0.7815555555555557,0.7703655561840492,0.20244475085906175,0.11825536224577163,0.6962962962962963,0.6,0.8166666666666667,-0.059052181736392484,-0.0659239555899297,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden1"": 64, ""hidden2"": 32, ""lr"": 0.001, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__MLP__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,LR,538,135,2,0.7222066190483412,0.04731007295563433,0.7255257534862797,0.7628888888888888,0.7440778715731111,0.22093081195345968,0.11249690244526864,0.6518518518518519,0.5066666666666667,0.8333333333333334,-0.03736313540260916,-0.04068226984054768,"{""C"": 0.23357214690901212}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,LR,538,135,2,0.7222066190483412,0.04731007295563433,0.7255257534862797,0.7628888888888888,0.7440778715731111,0.22093081195345968,0.11249690244526864,0.6518518518518519,0.5066666666666667,0.8333333333333334,-0.03736313540260916,-0.04068226984054768,"{""C"": 0.23357214690901212}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,LR,538,135,2,0.7222066190483412,0.04731007295563433,0.7255257534862797,0.7628888888888888,0.7440778715731111,0.2209308119534597,0.11249690244526864,0.6518518518518519,0.5066666666666667,0.8333333333333334,-0.03736313540260916,-0.04068226984054768,"{""C"": 0.23357214690901212}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,XGB,538,135,2,0.689867078145615,0.035998909782499436,0.7952654071075124,0.7625555555555555,0.741187950131011,0.19507875770111585,0.10033036978156479,0.7037037037037037,0.7466666666666667,0.65,0.032709851551956826,-0.07268847740994056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,XGB,538,135,2,0.689867078145615,0.035998909782499436,0.7952654071075124,0.7625555555555555,0.741187950131011,0.19507875770111585,0.10033036978156479,0.7037037037037037,0.7466666666666667,0.65,0.032709851551956826,-0.07268847740994056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,XGB,538,135,2,0.689867078145615,0.035998909782499436,0.7952654071075124,0.7625555555555555,0.741187950131011,0.19507875770111585,0.10033036978156479,0.7037037037037037,0.7466666666666667,0.65,0.032709851551956826,-0.07268847740994056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__XGB__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__XGB__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,MLP,538,135,2,0.7082479792541818,0.04020285255782758,0.7125084345479082,0.7317777777777777,0.7298368569609124,0.23772533766546938,0.12451190175833526,0.6518518518518519,0.49333333333333335,0.85,-0.019269343229869507,-0.023529798523595935,"{""batch_size"": 32, ""dropout"": 0.3, ""hidden1"": 128, ""hidden2"": 32, ""lr"": 0.0005, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.0001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__MLP__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__MLP__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,LR,538,135,2,0.7157883562578669,0.04347767256447362,0.7197480881691408,0.7295555555555556,0.7238354040956558,0.22542067796296367,0.09387946613158363,0.6666666666666666,0.52,0.85,-0.009807467386414803,-0.01376719929768877,"{""C"": 4.832930238571752}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/bundles/bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/CT_axisA_common_neutral_mlp/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
