feature,votes,rank_score,family,RFE_selected,Spearman_selected,Chi2_selected,LogReg_selected,LightGBM_selected,RandomForest_selected
gradient_glrlm_GrayLevelNonUniformity,5,5.0,glrlm,1,1,1,1,0,1
gradient_glszm_GrayLevelNonUniformity,5,5.0,glszm,1,1,1,1,0,1
gradient_glszm_SizeZoneNonUniformity,5,5.0,glszm,1,1,1,1,0,1
original_glszm_GrayLevelNonUniformity,5,5.0,glszm,1,1,1,1,0,1
original_ngtdm_Strength,5,5.0,ngtdm,1,1,1,1,0,1
gradient_firstorder_TotalEnergy,4,4.0,firstorder,0,1,1,1,0,1
gradient_glcm_Imc1,4,4.0,glcm,0,1,1,1,0,1
gradient_gldm_DependenceNonUniformity,4,4.0,gldm,1,1,1,0,0,1
gradient_ngtdm_Busyness,4,4.0,ngtdm,1,1,0,1,0,1
original_glrlm_RunLengthNonUniformity,4,4.0,glrlm,1,1,1,0,0,1
original_glszm_SizeZoneNonUniformity,4,4.0,glszm,1,1,1,0,0,1
original_ngtdm_Busyness,4,4.0,ngtdm,1,1,0,1,0,1
gradient_firstorder_Minimum,3,3.0,firstorder,0,1,1,0,0,1
gradient_glrlm_LongRunHighGrayLevelEmphasis,3,3.0,glrlm,1,0,1,1,0,0
gradient_glrlm_RunLengthNonUniformity,3,3.0,glrlm,0,1,1,0,0,1
original_glcm_Contrast,3,3.0,glcm,1,0,1,1,0,0
original_glcm_Idmn,3,3.0,glcm,1,1,0,1,0,0
original_glcm_Imc1,3,3.0,glcm,0,1,1,0,0,1
original_gldm_DependenceVariance,3,3.0,gldm,1,0,1,1,0,0
original_gldm_SmallDependenceLowGrayLevelEmphasis,3,3.0,gldm,0,1,1,0,0,1
original_glrlm_GrayLevelNonUniformity,3,3.0,glrlm,0,1,1,0,0,1
gradient_firstorder_Energy,2,2.0,firstorder,0,1,1,0,0,0
gradient_glcm_Contrast,2,2.0,glcm,1,0,0,1,0,0
gradient_glcm_Imc2,2,2.0,glcm,0,1,0,0,0,1
gradient_gldm_GrayLevelNonUniformity,2,2.0,gldm,0,1,0,0,0,1
gradient_gldm_LowGrayLevelEmphasis,2,2.0,gldm,1,0,0,1,0,0
gradient_gldm_SmallDependenceEmphasis,2,2.0,gldm,1,0,0,1,0,0
gradient_gldm_SmallDependenceHighGrayLevelEmphasis,2,2.0,gldm,1,0,0,1,0,0
gradient_glrlm_ShortRunLowGrayLevelEmphasis,2,2.0,glrlm,1,0,0,1,0,0
gradient_glszm_SizeZoneNonUniformityNormalized,2,2.0,glszm,1,0,0,1,0,0
gradient_ngtdm_Coarseness,2,2.0,ngtdm,0,1,0,0,0,1
gradient_ngtdm_Strength,2,2.0,ngtdm,0,1,1,0,0,0
original_firstorder_Energy,2,2.0,firstorder,0,1,1,0,0,0
original_glcm_Imc2,2,2.0,glcm,0,1,0,0,0,1
original_glcm_JointAverage,2,2.0,glcm,1,0,0,1,0,0
original_glcm_JointEntropy,2,2.0,glcm,1,0,0,0,0,1
original_gldm_DependenceNonUniformity,2,2.0,gldm,0,1,1,0,0,0
original_gldm_GrayLevelNonUniformity,2,2.0,gldm,0,1,0,0,0,1
original_gldm_LargeDependenceHighGrayLevelEmphasis,2,2.0,gldm,1,0,0,1,0,0
original_glrlm_RunEntropy,2,2.0,glrlm,0,0,0,1,0,1
original_glrlm_RunLengthNonUniformityNormalized,2,2.0,glrlm,1,0,0,1,0,0
original_glrlm_RunVariance,2,2.0,glrlm,1,0,0,1,0,0
original_glszm_LowGrayLevelZoneEmphasis,2,2.0,glszm,1,0,0,1,0,0
original_ngtdm_Coarseness,2,2.0,ngtdm,0,1,0,0,0,1
original_ngtdm_Contrast,2,2.0,ngtdm,1,0,0,1,0,0
gradient_firstorder_10Percentile,1,1.0,firstorder,0,0,1,0,0,0
gradient_firstorder_Median,1,1.0,firstorder,0,0,1,0,0,0
gradient_glcm_Autocorrelation,1,1.0,glcm,0,0,1,0,0,0
gradient_glcm_Idmn,1,1.0,glcm,0,0,0,0,0,1
gradient_gldm_DependenceNonUniformityNormalized,1,1.0,gldm,0,0,1,0,0,0
gradient_gldm_LargeDependenceEmphasis,1,1.0,gldm,0,0,0,1,0,0
gradient_glszm_LargeAreaHighGrayLevelEmphasis,1,1.0,glszm,1,0,0,0,0,0
gradient_glszm_ZoneEntropy,1,1.0,glszm,0,0,0,1,0,0
gradient_ngtdm_Contrast,1,1.0,ngtdm,0,0,0,0,0,1
original_firstorder_Kurtosis,1,1.0,firstorder,0,0,0,0,0,1
original_firstorder_Skewness,1,1.0,firstorder,0,0,0,0,0,1
original_firstorder_TotalEnergy,1,1.0,firstorder,0,0,1,0,0,0
original_glcm_DifferenceVariance,1,1.0,glcm,0,0,1,0,0,0
original_glcm_Idn,1,1.0,glcm,0,1,0,0,0,0
original_glcm_InverseVariance,1,1.0,glcm,1,0,0,0,0,0
original_gldm_DependenceNonUniformityNormalized,1,1.0,gldm,0,0,1,0,0,0
original_glrlm_LongRunHighGrayLevelEmphasis,1,1.0,glrlm,0,0,0,1,0,0
original_glrlm_ShortRunLowGrayLevelEmphasis,1,1.0,glrlm,0,0,1,0,0,0
original_glszm_SizeZoneNonUniformityNormalized,1,1.0,glszm,0,0,0,0,0,1
original_glszm_SmallAreaLowGrayLevelEmphasis,1,1.0,glszm,1,0,0,0,0,0
original_glszm_ZoneEntropy,1,1.0,glszm,0,0,0,1,0,0
original_glszm_ZoneVariance,1,1.0,glszm,0,1,0,0,0,0
gradient_firstorder_90Percentile,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Entropy,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_InterquartileRange,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Kurtosis,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Maximum,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Mean,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_MeanAbsoluteDeviation,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Range,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_RobustMeanAbsoluteDeviation,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_RootMeanSquared,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Skewness,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Uniformity,0,0.0,firstorder,0,0,0,0,0,0
gradient_firstorder_Variance,0,0.0,firstorder,0,0,0,0,0,0
gradient_glcm_ClusterProminence,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_ClusterShade,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_ClusterTendency,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_Correlation,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_DifferenceAverage,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_DifferenceEntropy,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_DifferenceVariance,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_Id,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_Idm,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_Idn,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_InverseVariance,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_JointAverage,0,0.0,glcm,0,0,0,0,0,0
gradient_glcm_JointEnergy,0,0.0,glcm,0,0,0,0,0,0
