feature,family
gradient_firstorder_10Percentile,firstorder
gradient_firstorder_90Percentile,firstorder
gradient_firstorder_Energy,firstorder
gradient_firstorder_Entropy,firstorder
gradient_firstorder_InterquartileRange,firstorder
gradient_firstorder_Kurtosis,firstorder
gradient_firstorder_Maximum,firstorder
gradient_firstorder_Mean,firstorder
gradient_firstorder_MeanAbsoluteDeviation,firstorder
gradient_firstorder_Median,firstorder
gradient_firstorder_Minimum,firstorder
gradient_firstorder_Range,firstorder
gradient_firstorder_RobustMeanAbsoluteDeviation,firstorder
gradient_firstorder_RootMeanSquared,firstorder
gradient_firstorder_Skewness,firstorder
gradient_firstorder_TotalEnergy,firstorder
gradient_firstorder_Uniformity,firstorder
gradient_firstorder_Variance,firstorder
gradient_glcm_Autocorrelation,glcm
gradient_glcm_ClusterProminence,glcm
gradient_glcm_ClusterShade,glcm
gradient_glcm_ClusterTendency,glcm
gradient_glcm_Contrast,glcm
gradient_glcm_Correlation,glcm
gradient_glcm_DifferenceAverage,glcm
gradient_glcm_DifferenceEntropy,glcm
gradient_glcm_DifferenceVariance,glcm
gradient_glcm_Id,glcm
gradient_glcm_Idm,glcm
gradient_glcm_Idmn,glcm
gradient_glcm_Idn,glcm
gradient_glcm_Imc1,glcm
gradient_glcm_Imc2,glcm
gradient_glcm_InverseVariance,glcm
gradient_glcm_JointAverage,glcm
gradient_glcm_JointEnergy,glcm
gradient_glcm_JointEntropy,glcm
gradient_glcm_MaximumProbability,glcm
gradient_glcm_SumEntropy,glcm
gradient_glcm_SumSquares,glcm
gradient_gldm_DependenceEntropy,gldm
gradient_gldm_DependenceNonUniformity,gldm
gradient_gldm_DependenceNonUniformityNormalized,gldm
gradient_gldm_DependenceVariance,gldm
gradient_gldm_GrayLevelNonUniformity,gldm
gradient_gldm_GrayLevelVariance,gldm
gradient_gldm_HighGrayLevelEmphasis,gldm
gradient_gldm_LargeDependenceEmphasis,gldm
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,gldm
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,gldm
gradient_gldm_LowGrayLevelEmphasis,gldm
gradient_gldm_SmallDependenceEmphasis,gldm
gradient_gldm_SmallDependenceHighGrayLevelEmphasis,gldm
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,gldm
gradient_glrlm_GrayLevelNonUniformity,glrlm
gradient_glrlm_GrayLevelNonUniformityNormalized,glrlm
gradient_glrlm_GrayLevelVariance,glrlm
gradient_glrlm_HighGrayLevelRunEmphasis,glrlm
gradient_glrlm_LongRunEmphasis,glrlm
gradient_glrlm_LongRunHighGrayLevelEmphasis,glrlm
gradient_glrlm_LongRunLowGrayLevelEmphasis,glrlm
gradient_glrlm_LowGrayLevelRunEmphasis,glrlm
gradient_glrlm_RunEntropy,glrlm
gradient_glrlm_RunLengthNonUniformity,glrlm
gradient_glrlm_RunLengthNonUniformityNormalized,glrlm
gradient_glrlm_RunPercentage,glrlm
gradient_glrlm_RunVariance,glrlm
gradient_glrlm_ShortRunEmphasis,glrlm
gradient_glrlm_ShortRunHighGrayLevelEmphasis,glrlm
gradient_glrlm_ShortRunLowGrayLevelEmphasis,glrlm
gradient_glszm_GrayLevelNonUniformity,glszm
gradient_glszm_GrayLevelNonUniformityNormalized,glszm
gradient_glszm_GrayLevelVariance,glszm
gradient_glszm_HighGrayLevelZoneEmphasis,glszm
gradient_glszm_LargeAreaEmphasis,glszm
gradient_glszm_LargeAreaHighGrayLevelEmphasis,glszm
gradient_glszm_LargeAreaLowGrayLevelEmphasis,glszm
gradient_glszm_LowGrayLevelZoneEmphasis,glszm
gradient_glszm_SizeZoneNonUniformity,glszm
gradient_glszm_SizeZoneNonUniformityNormalized,glszm
gradient_glszm_SmallAreaEmphasis,glszm
gradient_glszm_SmallAreaHighGrayLevelEmphasis,glszm
gradient_glszm_SmallAreaLowGrayLevelEmphasis,glszm
gradient_glszm_ZoneEntropy,glszm
gradient_glszm_ZonePercentage,glszm
gradient_glszm_ZoneVariance,glszm
gradient_ngtdm_Busyness,ngtdm
gradient_ngtdm_Coarseness,ngtdm
gradient_ngtdm_Complexity,ngtdm
gradient_ngtdm_Contrast,ngtdm
gradient_ngtdm_Strength,ngtdm
original_firstorder_10Percentile,firstorder
original_firstorder_90Percentile,firstorder
original_firstorder_Energy,firstorder
original_firstorder_Entropy,firstorder
original_firstorder_InterquartileRange,firstorder
original_firstorder_Kurtosis,firstorder
original_firstorder_Maximum,firstorder
original_firstorder_Mean,firstorder
original_firstorder_MeanAbsoluteDeviation,firstorder
original_firstorder_Median,firstorder
original_firstorder_Minimum,firstorder
original_firstorder_Range,firstorder
original_firstorder_RobustMeanAbsoluteDeviation,firstorder
original_firstorder_RootMeanSquared,firstorder
original_firstorder_Skewness,firstorder
original_firstorder_TotalEnergy,firstorder
original_firstorder_Uniformity,firstorder
original_firstorder_Variance,firstorder
original_glcm_Autocorrelation,glcm
original_glcm_ClusterProminence,glcm
original_glcm_ClusterShade,glcm
original_glcm_ClusterTendency,glcm
original_glcm_Contrast,glcm
original_glcm_Correlation,glcm
original_glcm_DifferenceAverage,glcm
original_glcm_DifferenceEntropy,glcm
original_glcm_DifferenceVariance,glcm
original_glcm_Id,glcm
original_glcm_Idm,glcm
original_glcm_Idmn,glcm
original_glcm_Idn,glcm
original_glcm_Imc1,glcm
original_glcm_Imc2,glcm
original_glcm_InverseVariance,glcm
original_glcm_JointAverage,glcm
original_glcm_JointEnergy,glcm
original_glcm_JointEntropy,glcm
original_glcm_MaximumProbability,glcm
original_glcm_SumEntropy,glcm
original_glcm_SumSquares,glcm
original_gldm_DependenceEntropy,gldm
original_gldm_DependenceNonUniformity,gldm
original_gldm_DependenceNonUniformityNormalized,gldm
original_gldm_DependenceVariance,gldm
original_gldm_GrayLevelNonUniformity,gldm
original_gldm_GrayLevelVariance,gldm
original_gldm_HighGrayLevelEmphasis,gldm
original_gldm_LargeDependenceEmphasis,gldm
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm
original_gldm_LowGrayLevelEmphasis,gldm
original_gldm_SmallDependenceEmphasis,gldm
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm
original_glrlm_GrayLevelNonUniformity,glrlm
original_glrlm_GrayLevelNonUniformityNormalized,glrlm
original_glrlm_GrayLevelVariance,glrlm
original_glrlm_HighGrayLevelRunEmphasis,glrlm
original_glrlm_LongRunEmphasis,glrlm
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm
original_glrlm_LowGrayLevelRunEmphasis,glrlm
original_glrlm_RunEntropy,glrlm
original_glrlm_RunLengthNonUniformity,glrlm
original_glrlm_RunLengthNonUniformityNormalized,glrlm
original_glrlm_RunPercentage,glrlm
original_glrlm_RunVariance,glrlm
original_glrlm_ShortRunEmphasis,glrlm
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm
original_glszm_GrayLevelNonUniformity,glszm
original_glszm_GrayLevelNonUniformityNormalized,glszm
original_glszm_GrayLevelVariance,glszm
original_glszm_HighGrayLevelZoneEmphasis,glszm
original_glszm_LargeAreaEmphasis,glszm
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm
original_glszm_LowGrayLevelZoneEmphasis,glszm
original_glszm_SizeZoneNonUniformity,glszm
original_glszm_SizeZoneNonUniformityNormalized,glszm
original_glszm_SmallAreaEmphasis,glszm
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm
original_glszm_ZoneEntropy,glszm
original_glszm_ZonePercentage,glszm
original_glszm_ZoneVariance,glszm
original_ngtdm_Busyness,ngtdm
original_ngtdm_Coarseness,ngtdm
original_ngtdm_Complexity,ngtdm
original_ngtdm_Contrast,ngtdm
original_ngtdm_Strength,ngtdm
