arm_id,A,B,N,C,domain_label,model,n_train,n_test,n_features,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_ap,test_brier,test_ece,test_acc,test_sens,test_spec,overfit_gap_train_test_auc,generalization_gap_cv_test_auc,best_params,bundle_path,preds_path,selected_features_source,feature_mode
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,MLP,163,45,30,0.5567768595041322,0.07101458180187586,0.6763293310463122,0.7027649769585254,0.5102109992053065,0.2319300120419335,0.17950841055976022,0.6666666666666666,0.6428571428571429,0.6774193548387096,-0.026435645912213146,-0.1459881174543931,"{""batch_size"": 32, ""dropout"": 0.2, ""hidden1"": 64, ""hidden2"": 32, ""lr"": 0.001, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__MLP__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=VS|B=OFF|N=OFF|C=OFF,VS,OFF,OFF,OFF,no_density,LR,163,45,30,0.5747107438016529,0.07529801003259783,0.6250428816466552,0.7004608294930876,0.4634680987017592,0.2429283001516134,0.18571476583012309,0.6666666666666666,0.7142857142857143,0.6451612903225806,-0.07541794784643241,-0.12575008569143475,"{""C"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__LR__A-VS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-VS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,MLP,163,45,30,0.584793388429752,0.0723371391709373,0.6545454545454545,0.6682027649769585,0.4547931560329108,0.23461959053908754,0.17313458853297764,0.7111111111111111,0.6428571428571429,0.7419354838709677,-0.013657310431503977,-0.08340937654720648,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden1"": 64, ""hidden2"": 32, ""lr"": 0.001, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__MLP__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,MLP,163,45,30,0.49752066115702476,0.09051718681672477,0.6818181818181818,0.6428571428571429,0.4382680327802279,0.23902222665389017,0.18072059551874797,0.6,0.5,0.6451612903225806,0.03896103896103886,-0.14533648170011815,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden1"": 64, ""hidden2"": 32, ""lr"": 0.001, ""max_epochs"": 200, ""min_delta_auc"": 0.0001, ""patience"": 20, ""val_fraction"": 0.2, ""weight_decay"": 0.0001}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__MLP__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__MLP__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,LR,163,45,30,0.5865289256198347,0.06063638109570056,0.669982847341338,0.6382488479262673,0.47355293507444585,0.23506980108171593,0.1987235032779519,0.5777777777777777,0.6428571428571429,0.5483870967741935,0.0317339994150706,-0.05171992230643263,"{""C"": 0.02069138081114789}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__LR__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,XGB,163,45,30,0.5991322314049586,0.06493264887637906,0.9679245283018868,0.6290322580645161,0.3772876103526333,0.23241701514074795,0.12760714756117927,0.6222222222222222,0.42857142857142855,0.7096774193548387,0.3388922702373707,-0.029900026659557488,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__XGB__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=RS|B=OFF|N=OFF|C=OFF,RS,OFF,OFF,OFF,no_density,LR,163,45,30,0.6249586776859506,0.08976614351648551,0.8001715265866209,0.599078341013825,0.3719198229847317,0.26333002160203023,0.2723547526773817,0.5777777777777777,0.5,0.6129032258064516,0.20109318557279598,0.025880336672125637,"{""C"": 54.555947811685144}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__LR__A-RS__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-RS__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,LR,163,45,30,0.5765289256198347,0.026894954355228515,0.7849056603773585,0.5737327188940091,0.4179067931681172,0.29915351577442306,0.2820095466671718,0.5555555555555556,0.7142857142857143,0.4838709677419355,0.21117294148334942,0.0027962067258255896,"{""C"": 100.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__LR__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__LR__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=NR|B=OFF|N=OFF|C=OFF,NR,OFF,OFF,OFF,no_density,XGB,163,45,30,0.5565702479338842,0.0349886552593571,0.9747855917667239,0.5576036866359446,0.37128733475372133,0.24975459516669996,0.186088232199351,0.5555555555555556,0.35714285714285715,0.6451612903225806,0.41718190513077924,-0.0010334387020604074,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__XGB__A-NR__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-NR__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
A=FK|B=OFF|N=OFF|C=OFF,FK,OFF,OFF,OFF,no_density,XGB,163,45,30,0.6375206611570248,0.040212705406563,0.9804459691252144,0.5207373271889402,0.31783286514732917,0.2668439914773902,0.21396638883484734,0.4888888888888889,0.35714285714285715,0.5483870967741935,0.45970864193627425,0.1167833339680846,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/bundles/bundle__XGB__A-FK__B-OFF__N-OFF__C-OFF.joblib,<ORIGINAL_PROJECT_ROOT>/study_results/NUEVOS/MODELING/MRI_axisA_common_neutral_mlp/preds/preds_test__XGB__A-FK__B-OFF__N-OFF__C-OFF.csv,train_only_common_neutral_consensus,COMMON_NEUTRAL
