feature,family
gradient_gldm_GrayLevelNonUniformity,gldm
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm
gradient_glcm_Imc2,glcm
gradient_glrlm_GrayLevelNonUniformity,glrlm
gradient_glszm_GrayLevelNonUniformity,glszm
gradient_ngtdm_Busyness,ngtdm
original_glrlm_GrayLevelNonUniformity,glrlm
original_glszm_GrayLevelNonUniformity,glszm
original_ngtdm_Busyness,ngtdm
gradient_glszm_LowGrayLevelZoneEmphasis,glszm
gradient_ngtdm_Contrast,ngtdm
original_gldm_GrayLevelNonUniformity,gldm
gradient_gldm_DependenceEntropy,gldm
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,gldm
gradient_glrlm_LongRunEmphasis,glrlm
gradient_glszm_SmallAreaEmphasis,glszm
gradient_glszm_SmallAreaHighGrayLevelEmphasis,glszm
gradient_glszm_ZonePercentage,glszm
gradient_ngtdm_Strength,ngtdm
original_glrlm_RunLengthNonUniformity,glrlm
gradient_firstorder_InterquartileRange,firstorder
gradient_firstorder_Kurtosis,firstorder
gradient_firstorder_Median,firstorder
gradient_firstorder_Minimum,firstorder
gradient_firstorder_Skewness,firstorder
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,gldm
gradient_glrlm_LowGrayLevelRunEmphasis,glrlm
gradient_glszm_HighGrayLevelZoneEmphasis,glszm
gradient_glszm_SmallAreaLowGrayLevelEmphasis,glszm
gradient_ngtdm_Coarseness,ngtdm
