feature,family
gradient_glcm_Imc2,glcm
gradient_gldm_DependenceEntropy,gldm
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,gldm
gradient_firstorder_Kurtosis,firstorder
gradient_firstorder_Median,firstorder
gradient_firstorder_Minimum,firstorder
gradient_gldm_GrayLevelNonUniformity,gldm
gradient_glrlm_GrayLevelNonUniformity,glrlm
gradient_glrlm_LowGrayLevelRunEmphasis,glrlm
gradient_glszm_HighGrayLevelZoneEmphasis,glszm
gradient_glszm_LowGrayLevelZoneEmphasis,glszm
gradient_glszm_SmallAreaLowGrayLevelEmphasis,glszm
gradient_ngtdm_Busyness,ngtdm
gradient_ngtdm_Contrast,ngtdm
original_gldm_GrayLevelNonUniformity,gldm
original_glrlm_GrayLevelNonUniformity,glrlm
